time,open,high,low,close,EMA,EMA,EMA,EMA,EMA,Volume,RSI,Regular Bullish,Regular Bullish Label,Hidden Bullish,Hidden Bullish Label,Regular Bearish,Regular Bearish Label,Hidden Bearish,Hidden Bearish Label,Open Interest (열기),Open Interest (고가,Open Interest (저가),Open Interest (닫기),SMA,CVD
1737072000,99987.3,105865.22,99950.77,104077.48,86593.43763196113,79463.43345244859,94685.57626644953,97501.16658157815,100061.21846885441,39171.85292,64.31240049345155,,,,,,,,,86227.58,91576.846,85872.996,90555.312,88511.03746666653,-645195.0589984659
1737158400,104077.47,104988.88,102277.55,104556.23,86890.34329093699,79713.11302008592,95038.09961407633,98173.07738333261,101559.55564590293,24307.82998,65.011409273354,,,,,65.011409273354,,65.011409273354,,90554.696,90693.133,87475.328,87809.624,88327.4127333332,-641828.4967068981
1737244800,104556.23,106422.43,99651.6,101331.57,87129.04125307026,79928.22204476169,95262.8664135736,98473.8862039676,101483.56043060195,43397.28298,56.92381885545725,,,,,,,,,87812.389,90499.064,83940.597,84137.653,88106.37286666654,-642915.6339650034
1737331200,101331.57,109588,99550,102260.01,87379.13991004431,80150.42889008744,95512.76439880312,98834.46942263735,101742.37695373464,89529.231732,58.5236874130634,,,,,,,,,84165.91,88621.604,83161.969,84058.659,87704.16733333321,-635372.6408430986
1737417600,102260,107240.81,100119.04,106143.82,87689.29991153118,80409.06959764876,95892.44495598873,99530.59804905285,103209.5246358231,45941.02002,64.46863249850298,,,,,,,,,84051.049,87159.999,83988.965,86594.988,87216.44386666655,-624172.6927785182
1737504000,106143.82,106394.46,103339.12,103706.66,87954.04966505959,80640.88641757265,96171.52406470342,99928.31823485733,103375.23642388206,22248.69254,58.77545818575378,,,,,,,,,86593.699,86593.699,83820.347,83831.542,86663.30319999988,-616158.3295334216
1737590400,103706.66,106850,101262.28,103910.34,88217.7900011743,80872.4232691391,96447.91034810687,100307.55840296615,103553.60428258804,53953.12031,59.10052511090695,,,,,,,,,83843.481,86637.966,80413.191,80451.537,85979.70146666655,-603768.8465678579
1737676800,103910.35,107120,102750,104870.5,88493.04140611357,81111.21010228198,96748.71712138878,100742.12426935033,103992.56952172537,23609.24017,60.674755472003994,,,,,,,,,80452.001,83956.93,80082.709,82341.398,85643.16793333321,-590310.8152971099
1737763200,104870.51,105286.52,104106.09,104746.85,88761.69939940094,81346.39059877669,97034.36472419632,101123.5267198884,104243.99634781691,9068.32377,60.35258803297774,,,,,,,,,82340.662,82482.619,80941.115,81552.446,85182.22899999988,-578998.1511730998
1737849600,104746.86,105500,102520.44,102620,88990.76221924555,81558.0683042615,97233.85169833216,101266.04798466092,103702.66423187793,9812.51238,54.94810957675935,,,,,,,,,81550.539,83005.503,81382.698,81643.976,84781.07786666654,-569697.4086209001
1737936000,102620.01,103260,97777.77,102082.83,89207.16003380348,81762.29478879621,97407.0294948203,101343.83674802654,103162.71948791863,50758.1341,53.64158064762823,,,,,,,,,81646.023,87197.528,81646.023,84003.451,84544.9223333332,-566116.5590831958
