date,total_btc_etf_netflow,ibit_netflow,fbtc_netflow,gbtc_netflow,arkb_netflow,bitb_netflow
2024-01-11,655300000,111700000,227000000,-95100000,65300000,237900000
2024-01-12,203000000,386000000,195300000,-484100000,39800000,17400000
